título,preço,condomínio,iptu,área,quartos,banheiros,vagas,url,latitude,longitude,bairro
"Apartamento na Rua Paranatama, 30, Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 310.000 - Viva Real",R$ 310.000,R$ 500,R$ 130,56,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-56m2-venda-RS310000-id-90441472/,-7.712946,-34.83536,Lot. Enseada dos Golfinhos
"Apartamento na Rua Paranatama, 30, Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 310.000 - Viva Real",R$ 310.000,R$ 500,R$ 130,56,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-56m2-venda-RS310000-id-90441470/,-7.712946,-34.83536,Lot. Enseada dos Golfinhos
"Apartamento 52 m² em Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 285.000 - Viva Real",R$ 285.000,R$ 500,R$ 50,52,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-52m2-venda-RS285000-id-85919828/,-7.713038,-34.834552,Lot. Enseada dos Golfinhos
"Apartamento 56 m² em Lot. Portal da Ilha em Ilha de Itamaracá, por R$ 140.000 - Viva Real",R$ 140.000,,,56,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-portal-da-ilha-bairros-ilha-de-itamaraca-com-garagem-56m2-venda-RS140000-id-93502095/,-7.698038,-34.83896,Lot. Portal da Ilha
"Apartamento 69 m² em Pilar em Ilha de Itamaracá, por R$ 130.000 - Viva Real",R$ 130.000,R$ 100,R$ 50,69,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-pilar-bairros-ilha-de-itamaraca-com-garagem-69m2-venda-RS130000-id-74310836/,-7.761259,-34.829433,Pilar
"Apartamento na Avenida do Armando, 200, Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 400.000 - Viva Real",R$ 400.000,R$ 600,,80,3,2,1,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-80m2-venda-RS400000-id-92058324/,-7.719595,-34.832902,Lot. Enseada dos Golfinhos
"Apartamento 180 m² na Forte Orange em Ilha de Itamaracá, por R$ 398.000 - Viva Real",R$ 398.000,,,180,4,4,4,https://www.vivareal.com.br/imovel/apartamento-4-quartos-forte-orange-bairros-ilha-de-itamaraca-com-garagem-180m2-venda-RS398000-id-92117993/,-7.79019,-34.83756,Forte Orange
"Apartamento 108 m² na Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 750.000 - Viva Real",R$ 750.000,R$ 1.100,,108,3,1,2,https://www.vivareal.com.br/imovel/apartamento-3-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-108m2-venda-RS750000-id-94417115/,-7.71039,-34.834841,Lot. Enseada dos Golfinhos
"Apartamento 50 m² em Cajá em Vitória de Santo Antão, por R$ 99.990 - Viva Real",R$ 99.990,R$ 165,,50,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-caja-bairros-vitoria-de-santo-antao-com-garagem-50m2-venda-RS99990-id-95192718/,,,Cajá
"Apartamento 67 m² na São Vicente de Paulo em Vitória de Santo Antão, por R$ 181.548 - Viva Real",R$ 181.548,,,67,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-sao-vicente-de-paulo-bairros-vitoria-de-santo-antao-com-garagem-67m2-venda-RS181548-id-55013653/,-8.131661,-35.307854,São Vicente de Paulo
"Apartamento 73 m² na São Vicente de Paulo em Vitória de Santo Antão, por R$ 220.260 - Viva Real",R$ 220.260,,,73,3,1,1,https://www.vivareal.com.br/imovel/apartamento-3-quartos-sao-vicente-de-paulo-bairros-vitoria-de-santo-antao-com-garagem-73m2-venda-RS220260-id-66802339/,-8.126786,-35.307562,São Vicente de Paulo
"Apartamento 67 m² na São Vicente de Paulo em Vitória de Santo Antão, por R$ 201.720 - Viva Real",R$ 201.720,,,67,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-sao-vicente-de-paulo-bairros-vitoria-de-santo-antao-com-garagem-67m2-venda-RS201720-id-85471579/,-8.126786,-35.307562,São Vicente de Paulo
"Apartamento 73 m² na Matriz em Vitória de Santo Antão, por R$ 320.000 - Viva Real",R$ 320.000,,,73,3,2,1,https://www.vivareal.com.br/imovel/apartamento-3-quartos-matriz-bairros-vitoria-de-santo-antao-com-garagem-73m2-venda-RS320000-id-90540090/,-8.112973,-35.292317,Matriz
"Apartamento 82 m² na Universitario em Caruaru, por R$ 350.000 - Viva Real",R$ 350.000,R$ 450,R$ 1.500,82,3,2,2,https://www.vivareal.com.br/imovel/apartamento-3-quartos-universitario-bairros-caruaru-com-garagem-82m2-venda-RS350000-id-94138436/,-8.266292,-35.962356,Universitario
"Apartamento na Rua Coronel José Pessoa, 92, Centro em Sairé, por R$ 330.000 - Viva Real",R$ 330.000,,,72,2,2,5,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-saire-com-garagem-72m2-venda-RS330000-id-93739145/,-8.328488,-35.708906,Centro
"Apartamento na Rua Adjar da Silva Casé, 826, Indianopolis em Caruaru, por R$ 253.000 - Viva Real",R$ 253.000,R$ 250,,56,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-indianopolis-bairros-caruaru-com-garagem-56m2-venda-RS253000-id-1037178637/,-8.292857,-35.952979,Indianopolis
"Apartamento 238 m² na Paiva em Cabo de Santo Agostinho, por R$ 2.600.000 - Viva Real",R$ 2.600.000,,,238,4,6,3,https://www.vivareal.com.br/imovel/apartamento-4-quartos-paiva-bairros-cabo-de-santo-agostinho-com-garagem-238m2-venda-RS2600000-id-95010187/,-8.259741,-34.946528,Paiva
"Apartamento 63 m² na Novo Gravata em Gravatá, por R$ 250.000 - Viva Real",R$ 250.000,R$ 300,,63,2,,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-novo-gravata-bairros-gravata-63m2-venda-RS250000-id-93883277/,-8.195234,-35.562077,Novo Gravata
"Apartamento 53 m² na Muro Alto em Ipojuca, por R$ 460.000 - Viva Real",R$ 460.000,R$ 800,,53,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-53m2-venda-RS460000-id-95181413/,-8.447963,-34.986796,Muro Alto
"Apartamento 53 m² na Muro Alto em Ipojuca, por R$ 480.000 - Viva Real",R$ 480.000,,,53,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-53m2-venda-RS480000-id-1037194444/,-8.447963,-34.986796,Muro Alto
"Apartamento 53 m² na Muro Alto em Ipojuca, por R$ 480.000 - Viva Real",R$ 480.000,,,53,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-53m2-venda-RS480000-id-1037194457/,-8.447963,-34.986796,Muro Alto
"Apartamento na PE-009, 10, Muro Alto em Ipojuca, por R$ 375.000 - Viva Real",R$ 375.000,,,67,3,3,1,https://www.vivareal.com.br/imovel/apartamento-3-quartos-muro-alto-bairros-ipojuca-com-garagem-67m2-venda-RS375000-id-1037206609/,-8.504808,-35.007367,Muro Alto
"Apartamento na Rua Paranatama, 30, Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 290.000 - Viva Real",R$ 290.000,R$ 500,R$ 100,52,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-52m2-venda-RS290000-id-90441664/,-7.712946,-34.83536,Lot. Enseada dos Golfinhos
"Apartamento na PE-009, 10, Muro Alto em Ipojuca, por R$ 345.000 - Viva Real",R$ 345.000,,,67,3,2,1,https://www.vivareal.com.br/imovel/apartamento-3-quartos-muro-alto-bairros-ipojuca-com-garagem-67m2-venda-RS345000-id-1037206296/,-8.504808,-35.007367,Muro Alto
"Apartamento na PE-009, 10, Muro Alto em Ipojuca, por R$ 400.000 - Viva Real",R$ 400.000,,,67,3,2,1,https://www.vivareal.com.br/imovel/apartamento-3-quartos-muro-alto-bairros-ipojuca-com-garagem-67m2-venda-RS400000-id-1037206336/,-8.504808,-35.007367,Muro Alto
"Apartamento na PE-009, 10, Muro Alto em Ipojuca, por R$ 335.000 - Viva Real",R$ 335.000,,,67,3,2,1,https://www.vivareal.com.br/imovel/apartamento-3-quartos-muro-alto-bairros-ipojuca-com-garagem-67m2-venda-RS335000-id-1037206259/,-8.504808,-35.007367,Muro Alto
"Apartamento 79 m² em Muro Alto em Ipojuca, por R$ 880.000 - Viva Real",R$ 880.000,R$ 1.174,,79,3,,1,https://www.vivareal.com.br/imovel/apartamento-3-quartos-muro-alto-bairros-ipojuca-com-garagem-79m2-venda-RS880000-id-93324723/,-8.505927,-35.001313,Muro Alto
"Apartamento 57 m² na Muro Alto em Ipojuca, por R$ 440.000 - Viva Real",R$ 440.000,,,57,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-57m2-venda-RS440000-id-95222659/,-8.447963,-34.986796,Muro Alto
"Apartamento 57 m² na Muro Alto em Ipojuca, por R$ 440.000 - Viva Real",R$ 440.000,,,57,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-57m2-venda-RS440000-id-95222665/,-8.447963,-34.986796,Muro Alto
"Apartamento 57 m² na Muro Alto em Ipojuca, por R$ 439.999 - Viva Real",R$ 439.999,,,57,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-57m2-venda-RS439999-id-95222632/,-8.447963,-34.986796,Muro Alto
"Apartamento 150 m² na Muro Alto em Ipojuca, por R$ 1.299.000 - Viva Real",R$ 1.299.000,,,150,4,4,2,https://www.vivareal.com.br/imovel/apartamento-4-quartos-muro-alto-bairros-ipojuca-com-garagem-150m2-venda-RS1299000-id-95222829/,-8.447963,-34.986796,Muro Alto
"Apartamento 79 m² em Ipojuca, por R$ 890.000 - Viva Real",R$ 890.000,R$ 1.174,,79,3,3,1,https://www.vivareal.com.br/imovel/apartamento-3-quartos-ipojuca-com-garagem-79m2-venda-RS890000-id-94733738/,-8.557052,-35.012554,
"Apartamento 73 m² na Muro Alto em Ipojuca, por R$ 670.000 - Viva Real",R$ 670.000,,,73,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-73m2-venda-RS670000-id-95221184/,-8.447963,-34.986796,Muro Alto
"Apartamento 73 m² na Muro Alto em Ipojuca, por R$ 670.000 - Viva Real",R$ 670.000,,,73,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-73m2-venda-RS670000-id-95221183/,-8.447963,-34.986796,Muro Alto
"Apartamento 88 m² em Porto de Galinhas em Ipojuca, por R$ 490.000 - Viva Real",R$ 490.000,,,88,3,1,,https://www.vivareal.com.br/imovel/apartamento-3-quartos-porto-de-galinhas-bairros-ipojuca-88m2-venda-RS490000-id-93755283/,-8.433325,-34.980603,Porto de Galinhas
"Apartamento 69 m² em Ipojuca, por R$ 650.000 - Viva Real",R$ 650.000,R$ 832,R$ 445,69,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ipojuca-com-garagem-69m2-venda-RS650000-id-94882618/,-8.557052,-35.012554,
"Apartamento na Rua dos Navegantes, s/n, Muro Alto em Ipojuca, por R$ 950.000 - Viva Real",R$ 950.000,,,79,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-79m2-venda-RS950000-id-93462155/,-8.417688,-34.974407,Muro Alto
"Apartamento na Rua S J, 161, Muro Alto em Ipojuca, por R$ 440.000 - Viva Real",R$ 440.000,R$ 990,R$ 200,50,1,2,1,https://www.vivareal.com.br/imovel/apartamento-1-quartos-muro-alto-bairros-ipojuca-com-garagem-50m2-venda-RS440000-id-92280843/,-8.400147,-35.064379,Muro Alto
"Apartamento 73 m² na Muro Alto em Ipojuca, por R$ 670.000 - Viva Real",R$ 670.000,,,73,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-73m2-venda-RS670000-id-95221280/,-8.447963,-34.986796,Muro Alto
"Apartamento 73 m² na Muro Alto em Ipojuca, por R$ 670.000 - Viva Real",R$ 670.000,,,73,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-73m2-venda-RS670000-id-95220781/,-8.447963,-34.986796,Muro Alto
"Apartamento 65 m² em Forte Orange em Ilha de Itamaracá, por R$ 150.000 - Viva Real",R$ 150.000,,,65,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-forte-orange-bairros-ilha-de-itamaraca-com-garagem-65m2-venda-RS150000-id-93801018/,-7.792226,-34.841537,Forte Orange
"Apartamento 57 m² na Muro Alto em Ipojuca, por R$ 440.000 - Viva Real",R$ 440.000,,,57,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-57m2-venda-RS440000-id-95222684/,-8.447963,-34.986796,Muro Alto
"Apartamento 73 m² na Muro Alto em Ipojuca, por R$ 670.000 - Viva Real",R$ 670.000,,,73,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-73m2-venda-RS670000-id-95221281/,-8.447963,-34.986796,Muro Alto
"Apartamento 57 m² na Muro Alto em Ipojuca, por R$ 440.000 - Viva Real",R$ 440.000,,,57,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-57m2-venda-RS440000-id-95222688/,-8.447963,-34.986796,Muro Alto
"Apartamento 57 m² na Muro Alto em Ipojuca, por R$ 440.000 - Viva Real",R$ 440.000,,,57,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-57m2-venda-RS440000-id-95222613/,-8.447963,-34.986796,Muro Alto
"Apartamento 50 m² na Ipojuca em Ipojuca, por R$ 117.000 - Viva Real",R$ 117.000,R$ 150,,50,2,1,,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ipojuca-bairros-ipojuca-50m2-venda-RS117000-id-95427888/,-8.401198,-35.059877,Ipojuca
"Apartamento 52 m² na Suape em Ipojuca, por R$ 123.000 - Viva Real",R$ 123.000,,,52,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-suape-bairros-ipojuca-com-garagem-52m2-venda-RS123000-id-1037227827/,-8.545954,-35.088123,Suape
"Apartamento na Rodovia PE 09, KM 3, Maracaípe em Ipojuca, por R$ 716.000 - Viva Real",R$ 716.000,,,64,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-maracaipe-bairros-ipojuca-com-garagem-64m2-venda-RS716000-id-95149553/,-8.526701,-35.00978,Maracaípe
"Apartamento 90 m² na Toquinho em Ipojuca, por R$ 855.000 - Viva Real",R$ 855.000,,,90,2,2,2,https://www.vivareal.com.br/imovel/apartamento-2-quartos-toquinho-bairros-ipojuca-com-garagem-90m2-venda-RS855000-id-95171456/,-8.485522,-35.000637,Toquinho
"Apartamento 29 m² na Serrambi em Ipojuca, por R$ 203.524 - Viva Real",R$ 203.524,,,29,1,1,1,https://www.vivareal.com.br/imovel/apartamento-1-quartos-serrambi-bairros-ipojuca-com-garagem-29m2-venda-RS203524-id-94947395/,-8.50904,-35.003132,Serrambi
"Apartamento 67 m² na Nossa Senhora do Ó em Ipojuca, por R$ 290.000 - Viva Real",R$ 290.000,R$ 530,,67,3,2,1,https://www.vivareal.com.br/imovel/apartamento-3-quartos-nossa-senhora-do-o-bairros-ipojuca-com-garagem-67m2-venda-RS290000-id-92972148/,-8.44424,-35.014032,Nossa Senhora do Ó
"Apartamento 53 m² em Ipojuca em Ipojuca, por R$ 129.500 - Viva Real",R$ 129.500,,,53,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ipojuca-bairros-ipojuca-com-garagem-53m2-venda-RS129500-id-92883247/,-8.401249,-35.060024,Ipojuca
"Apartamento na Rua dos Navegantes, s/n, Muro Alto em Ipojuca, por R$ 950.000 - Viva Real",R$ 950.000,,,79,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-muro-alto-bairros-ipojuca-com-garagem-79m2-venda-RS950000-id-93462396/,-8.417688,-34.974407,Muro Alto
"Apartamento 79 m² na Porto de Galinhas em Ipojuca, por R$ 950.000 - Viva Real",R$ 950.000,,,79,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-porto-de-galinhas-bairros-ipojuca-com-garagem-79m2-venda-RS950000-id-93959219/,-8.505941,-35.00131,Porto de Galinhas
